time_s,time_min,passengers,train_present,passenger_heat_W,train_heat_W,equipment_heat_W,piston_airflow_m3_s,target_ventilation_airflow_m3_s,leakage_airflow_signed_m3_s,total_mass_inflow_kg_s,total_mass_outflow_kg_s,air_density_kg_m3,air_temperature_K,internal_pressure_Pa,pressure_difference_Pa,co2_ppm,ventilation_airflow_m3_s,air_mass_kg,structure_temperature_K,structure_temperature_C,outdoor_temperature_C,outdoor_pressure_Pa,co2_moles,air_temperature_C,air_changes_per_hour,fan_power_proxy_W,cumulative_fan_energy_kWh
0.0,0.0,4.0,False,300.0,0.0,20000.0,0.0,35.0,0.0,29.109952535479017,29.499188069966458,1.1799675227986584,299.15,101325.0,0.0,600.0,25.0,15292.379095470611,298.65,25.5,30.0,101325.0,316.77417926623554,26.0,6.944444444444445,9375.0,0.0
5.0,0.08333333333333333,4.466666666666667,False,335.0,0.0,20000.0,0.0,35.0,-0.09471406716934815,31.00780129617382,31.306558380576234,1.179813181399163,299.1889181234552,101324.92676935086,-0.07323064914089628,598.2458221818986,26.535182751093853,15290.378830933152,298.65018029124417,25.50018029124419,30.0,101325.0,315.8067355027516,26.038918123455232,7.37088409752607,11210.306826949247,0.0142953519631592
10.0,0.16666666666666666,4.933333333333334,False,370.0,0.0,20000.0,0.0,35.0,-0.025027030349393624,32.43979799989862,32.83533177188679,1.1796551510214934,299.229199590281,101324.99488692042,-0.005113079576403834,596.4139033269137,27.83468689426214,15288.330757238555,298.65036715347213,25.500367153472155,30.0,101325.0,314.79751640857154,26.079199590281007,7.7318574706283725,12939.284787050457,0.03106590169510344
15.0,0.25,5.4,False,405.0,0.0,20000.0,0.0,35.0,-0.02730585774299957,33.7232969523652,34.12827542999133,1.1794932455237916,299.27027100901546,101324.99391338884,-0.006086611159844324,594.5216953275602,28.934693402873688,15286.232461988338,298.65056075898866,25.500560758988684,30.0,101325.0,313.7557081764494,26.120271009015482,8.03741483413158,14534.761336627498,0.05014510039210202
20.0,0.3333333333333333,5.866666666666667,False,440.00000000000006,0.0,20000.0,0.0,35.0,-0.10437228664557614,34.897245255705016,35.22162718926135,1.1793286372100436,299.31179784085225,101324.91107286351,-0.08892713648674544,592.5836381983625,29.865828809674046,15284.099138242163,298.65076122023527,25.50076122023529,30.0,101325.0,312.6892641488406,26.161797840852273,8.29606355824279,15983.6133255184,0.07133841612970335
25.0,0.4166666666666667,6.333333333333334,False,475.00000000000006,0.0,20000.0,0.0,35.0,-0.058483165494057826,35.76157794787878,36.146121810309836,1.1791642423718243,299.35370705240007,101324.97207934166,-0.027920658336370252,590.6116482675618,30.654017914929216,15281.968581138843,298.65096860043855,25.50096860043857,30.0,101325.0,311.605259155107,26.20370705240009,8.515004976369227,17282.77480112122,0.09444007455098086
30.0,0.5,6.800000000000001,False,510.00000000000006,0.0,20000.0,0.0,35.0,-0.0817371840985783,36.56552694313864,36.92767072917415,1.1789990211291697,299.3955788959054,101324.94546149172,-0.05453850828052964,588.6160385696002,31.321205588285558,15279.827313834037,298.6511829225115,25.501182922511532,30.0,101325.0,310.5088666225873,26.245578895905396,8.700334885634877,18435.998365539603,0.11924477813893976
35.0,0.5833333333333334,7.266666666666667,False,545.0,0.0,20000.0,0.0,35.0,-0.0841619049457863,37.225958284981665,37.588282010824685,1.1788345987406827,299.43732851591443,101324.94217774495,-0.0578222550539067,586.60517273761,31.885967760854008,15277.69639967925,298.6514041759727,25.50140417597271,30.0,101325.0,309.4049319723879,26.287328515914453,8.85721326690389,19451.36388017545,0.14555544636513076
40.0,0.6666666666666666,7.733333333333333,False,580.0,0.0,20000.0,0.0,35.0,-0.11087813392053888,37.813719766681814,38.14654319093755,1.1786710375335716,299.47875495636646,101324.89964113811,-0.10035886189143639,584.58614471167,32.36402861884272,15275.576646435089,298.6516323230493,25.501632323049307,30.0,101325.0,308.297213897612,26.32875495636648,8.990007949678532,20339.439463918603,0.17318794868741832
45.0,0.75,8.2,False,615.0,0.0,20000.0,0.0,35.0,-0.07954551622029701,38.248432849272085,38.61823477092021,1.1785098785818569,299.5198520743969,101324.94834702734,-0.05165297265921254,582.5646884165664,32.76869839851569,15273.488026420866,298.65186730401257,25.501867304012592,30.0,101325.0,307.1891370729713,26.36985207439693,9.102416221809914,21111.973101521697,0.20197365185786298
50.0,0.8333333333333334,8.666666666666668,False,650.0000000000001,0.0,20000.0,0.0,35.0,-0.11580232109435655,38.68950961900823,39.01663001224799,1.1783498694789125,299.56035318802793,101324.89052916269,-0.10947083731298335,580.5458481095856,33.111243971624354,15271.414308446705,298.65210904132886,25.50210904132888,30.0,101325.0,306.0830296883865,26.410353188027955,9.197567769895654,21780.996347319946,0.23176043619733633
55.0,0.9166666666666666,9.133333333333333,False,685.0,0.0,20000.0,0.0,35.0,-0.11974989365391613,39.03173337058064,39.35304953067274,1.178192596044529,299.60031816652184,101324.88293847322,-0.11706152677652426,578.5334832206662,33.40120253920304,15269.376044737095,298.6523574432735,25.502357443273524,30.0,101325.0,304.98133310897043,26.450318166521868,9.27811181644529,22358.237195280628,0.26241268171303117
60.0,1.0,9.600000000000001,False,720.0000000000001,0.0,20000.0,0.0,35.0,-0.07795567472820232,39.268863520761634,39.637045529852614,1.178038493178041,299.6397092847415,101324.95039112472,-0.049608875284320675,576.5308646823357,33.64664716763388,15267.378871587413,298.65261240684737,25.50261240684739,30.0,101325.0,303.88587485220586,26.489709284741537,9.3462908798983,22854.758278325735,0.2938105952363689
65.0,1.0833333333333333,10.066666666666666,False,755.0,0.0,20000.0,0.0,35.0,-0.09858974774522701,39.534810260305974,39.8766484364187,1.1778863255578784,299.6783308930721,101324.9206535644,-0.07934643559565302,574.5408992217217,33.854411560073125,15265.406779230103,298.6528738204035,25.502873820403522,30.0,101325.0,302.79785873821794,26.52833089307211,9.404003211131423,23280.754917488175,0.3258491460667952
70.0,1.1666666666666667,10.533333333333333,False,790.0,0.0,20000.0,0.0,35.0,-0.07876548330294902,39.716508176164034,40.078737414767915,1.1777375042548854,299.7162837538923,101324.94935509094,-0.050644909060793,572.5656316848168,34.03028032135597,15263.478055143314,298.65314156552165,25.503141565521673,30.0,101325.0,301.71871605756115,26.56628375389232,9.452855644821103,23645.463423484987,0.35843679769247105
75.0,1.25,11.0,False,825.0,0.0,20000.0,0.0,35.0,-0.09164609673298414,39.904849925182376,40.24906848470606,1.1775912645136348,299.7534511569474,101324.93143667717,-0.06856332282768562,570.6069878524942,34.17915001376102,15261.582788096706,298.6534155190837,25.503415519083717,30.0,101325.0,300.6492544355755,26.603451156947415,9.494208337155838,23957.14299581519,0.3914941632614295
