sample,station_volume_m3,passenger_heat_W_per_person,passenger_co2_L_s_person,train_direct_heat_W,structure_outdoor_UA_W_K,structure_capacitance_J_K,base_airflow_m3_s,maximum_airflow_m3_s,leakage_coefficient,outdoor_temperature_C,scenario,maximum_air_temperature_C,mean_air_temperature_C,maximum_structure_temperature_C,maximum_co2_ppm,mean_co2_ppm,maximum_absolute_pressure_difference_Pa,mean_ventilation_airflow_m3_s,maximum_ventilation_airflow_m3_s,total_fan_energy_proxy_kWh,total_passenger_heat_kWh,total_train_heat_kWh,time_above_27_C_s,time_above_29_C_s,time_above_1000_ppm_s,time_above_1200_ppm_s,minimum_air_mass_kg,maximum_air_mass_kg,minimum_air_changes_per_hour,mean_air_changes_per_hour,maximum_air_changes_per_hour,solver_function_evaluations,solver_success,analysis_threshold_note
0,1.068259334929615,85.10285414390094,0.00380214328781471,388600.26695161255,3970.041979011345,924458643.643328,30.6960637233119,106.53830114235637,0.36477631779747954,34.92528609200469,baseline,34.17986937400161,32.41793247300715,26.632110893279332,600.0,443.481204256557,2.8535758132784395,65.82928697688573,75.59449339319879,182.1076125482802,11.971134816242065,77.05596545168336,3537.5,3387.5,0.0,0.0,15901.52089466754,16336.226722018984,6.500710283895621,17.117484913286283,19.656716024281877,11618,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
1,0.8635289925475682,77.3106553988941,0.00413936768592151,337217.1344744871,7329.953703566716,1619683713.921419,30.751218890118572,87.86406858738582,0.5661628598699662,33.56279440551867,baseline,33.02246036488407,31.394965378823592,26.12434340332618,600.0,442.68625246151146,0.813932427787222,59.809059001390764,68.66105043624094,134.94374507984304,10.875032192777772,70.6330738920427,3537.5,3372.5,0.0,0.0,12902.560911875195,13205.412713967231,8.041935481467814,19.23922374785945,22.086709507922286,35060,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
2,0.8566349248708917,99.40458195463256,0.003352331751601548,151062.52107993688,3957.8684265426605,1238541811.9897873,26.659640900676607,100.767796160883,0.4881587434173891,31.326865891452318,baseline,30.58846409285553,29.622303079935968,26.01552305682185,600.0,445.80855946920644,0.42311086297559086,45.21429523838411,50.9670821985858,57.95561587469112,13.982911194951651,47.36374721772392,3497.5,2757.5,0.0,0.0,12902.082223070865,13099.986017545663,8.106655755940702,14.66146906980195,16.52690361074674,77378,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
3,0.9572262329489397,92.37886356480476,0.004542666347771811,308356.8408437287,6682.262330683014,990830612.3334745,21.576599047653268,82.68420837500634,0.5676915953991195,32.798735450926436,baseline,32.171647587971734,30.616484405576795,26.35333347956032,600.0,452.04507705299415,0.6715761501691304,46.074336002134444,54.785952098416985,63.6762456935452,12.99462680811587,67.02553718819789,3497.5,3137.5,0.0,0.0,14342.415427679516,14638.26643438445,6.451408181362984,13.37032587148315,15.898352451598372,42422,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
4,0.8518038365834735,77.26521703370587,0.0033425671505757544,335723.0839788899,6136.283410191734,1717198647.1257706,28.88256137107862,82.59820151376188,0.22989448448721983,31.21561804337395,baseline,31.297279785464923,29.769915080600242,25.912953114817583,600.0,444.30072075913415,6.882534947159002,48.29719255082083,56.430262316317126,71.014091371084,10.868640529407958,70.44631758009305,3502.5,2727.5,0.0,0.0,12799.920996203227,13026.107184010776,8.152633442340589,15.749972286439386,18.402209748802356,10226,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
5,0.897843104813214,67.97305177873854,0.0039639480444136725,170862.07956599648,7767.486562638825,1813831746.7308207,21.083307188948183,110.46892826495392,0.3820182631746524,29.11191744526477,baseline,29.03788674697762,28.17523319104244,25.75688601614138,600.0,458.0026358370645,0.7434349092945922,31.098077171409045,36.15040565334361,19.024846773046146,9.561542616875888,49.83869202848136,3277.5,85.0,0.0,0.0,13592.130738352924,13730.157127058023,6.553047037014609,9.621229726582305,11.184336432856028,69062,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
6,0.8947316902183937,67.24637598712818,0.0043595793188034295,241528.02859165313,7449.517876213541,1569617422.902765,35.42405343347154,118.60818550102991,0.5315619344043984,33.77213989129657,baseline,32.7758150029772,31.545879989572494,26.16162470147401,600.0,441.5132117177977,1.0773345375491772,65.34090632832736,72.49399700123755,174.08640228453112,9.459323555522698,58.67193565668845,3542.5,3402.5,0.0,0.0,13379.521127582067,13682.576195550851,7.761482599045291,20.285692298926445,22.50643585041387,56798,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
7,1.1495565949251996,99.35938153925163,0.0034960674132811145,226296.50064474397,7721.408256471501,1229567656.5108156,26.01418821974657,88.14516557988628,0.25296983248851973,31.62965768929318,baseline,30.947888940385383,29.825450429826812,26.105747534418754,600.0,451.22657861644893,1.9097481720818905,45.780835086093816,52.42083757359049,61.06725998059006,13.97655300318806,56.76799466332481,3467.5,2822.5,0.0,0.0,17293.364012245824,17579.455241294498,6.040976560093862,11.062438066264617,12.666922041701909,10172,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
8,1.1793584327979452,78.12965576718462,0.005091541105927957,161217.0894446575,4787.392839474628,914152739.7171459,28.393259057061627,117.63565306100122,0.4262094950721126,33.227527716020475,baseline,31.90751940323952,30.850666194777208,26.413119181657066,600.0,451.48631078715056,1.231761562419706,54.228348707428395,60.6489900859195,101.23971762755609,10.990238244583969,48.633068263313994,3507.5,3242.5,0.0,0.0,17685.876524249376,18035.19624378628,5.888323898247997,12.772563266259057,14.284835909101025,27836,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
9,1.0294251835108956,94.54946986874504,0.003122705453151583,369901.5214217895,4592.488304426236,1795328305.495195,31.801599595148446,102.29218647368556,0.3110208215383593,28.550076294457316,baseline,29.59405231640244,28.252851747322747,25.739198073939463,600.0,448.3741183069876,8.0554831737536,42.19608624370787,49.203235306294594,46.907064309221404,13.299958761536802,74.71862226045549,3292.5,725.0,0.0,0.0,15556.326320065837,15742.36015667302,6.745943809884405,11.386097071883585,13.276890425631352,42194,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
