parameter,level,value,scenario,maximum_air_temperature_C,mean_air_temperature_C,maximum_structure_temperature_C,maximum_co2_ppm,mean_co2_ppm,maximum_absolute_pressure_difference_Pa,mean_ventilation_airflow_m3_s,maximum_ventilation_airflow_m3_s,total_fan_energy_proxy_kWh,total_passenger_heat_kWh,total_train_heat_kWh,time_above_27_C_s,time_above_29_C_s,time_above_1000_ppm_s,time_above_1200_ppm_s,minimum_air_mass_kg,maximum_air_mass_kg,minimum_air_changes_per_hour,mean_air_changes_per_hour,maximum_air_changes_per_hour,solver_function_evaluations,solver_success,analysis_threshold_note
station_volume_m3,0,0.8,baseline,30.08960482967342,28.88620867667129,25.945950796848535,600.0,449.8389380311059,1.8661093916452955,39.195484680017444,45.83478557753416,38.001509611405936,10.55,59.730932082731805,3447.5,1912.5,0.0,0.0,12069.019071141547,12233.90327637649,8.680555555555555,13.609543291672724,15.914856103310473,39572,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
station_volume_m3,1,0.9,baseline,30.004474933665335,28.866740767731784,25.94386444998679,600.0,451.79912228785594,1.8800930393626913,39.081031441561585,45.48392963544829,37.711743958716696,10.55,59.730932082731805,3432.5,1957.5,0.0,0.0,13581.472252194682,13763.14118592355,7.716049382716049,12.062046741222714,14.038249887484042,37334,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
station_volume_m3,2,1.0,baseline,29.932633083149142,28.846764829156676,25.94171670611246,600.0,453.72673080299785,1.9158530551212607,38.96382157024345,45.181410963617,37.42030503725619,10.55,59.730932082731805,3412.5,1997.5,0.0,0.0,15094.005023253545,15292.379095470611,6.944444444444445,10.823283769512066,12.550391934338053,34928,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
station_volume_m3,3,1.1,baseline,29.875170382728584,28.826926412929065,25.939580785228543,600.0,455.62049894693143,1.9463889682665467,38.847621089729444,44.92855632386541,37.1370824024554,10.55,59.730932082731805,3392.5,2042.5,0.0,0.0,16606.505126504504,16821.617005017677,6.313131313131312,9.810005325689252,11.345595031279142,32804,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
station_volume_m3,4,1.2,baseline,29.828082747347025,28.806442587787103,25.937368422514226,600.0,457.49080517013374,1.9798455499258125,38.72772389499687,44.70341014130669,36.84548081824699,10.55,59.730932082731805,3377.5,2062.5,0.0,0.0,18118.99244453158,18350.854914564734,5.787037037037037,8.964750901619645,10.348011606783956,30620,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
passenger_heat_W_per_person,0,60.0,baseline,29.889363802911248,28.822468498309046,25.938965787593133,600.0,453.79190229194444,1.8937605512328446,38.81842135380588,44.930886865393035,36.97659797335751,8.44,59.730932082731805,3412.5,1927.5,0.0,0.0,15096.146090656996,15292.379095470611,6.944444444444445,10.782894820501634,12.48080190705362,34052,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
passenger_heat_W_per_person,1,70.0,baseline,29.9185247069683,28.8389137111713,25.94082795166281,600.0,453.7471223389879,1.9084289272286696,38.91682328848469,45.10048392538749,37.27669778427698,9.846666666666666,59.730932082731805,3412.5,1972.5,0.0,0.0,15094.688057581652,15292.379095470611,6.944444444444445,10.810228691245747,12.527912201496525,34634,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
passenger_heat_W_per_person,2,80.0,baseline,29.946847329859168,28.854900744405594,25.94263752834013,600.0,453.705887982227,1.9231021109735593,39.012511306702706,45.26542127459005,37.56989697639342,11.253333333333334,59.730932082731805,3412.5,2032.5,0.0,0.0,15093.299052398093,15292.379095470611,6.944444444444445,10.836808696306306,12.573728131830567,35252,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
passenger_heat_W_per_person,3,90.0,baseline,29.97651946148568,28.8711558911104,25.9444779335858,600.0,453.6602889239435,1.9375086020154413,39.10979253573915,45.43543700607931,37.870342481068015,12.66,59.730932082731805,3412.5,2082.5,0.0,0.0,15091.836603376456,15292.379095470611,6.944444444444445,10.863831259927542,12.62095472391092,35648,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
passenger_heat_W_per_person,4,100.0,baseline,30.005439569067903,28.887324182187744,25.946308324823747,600.0,453.61631993103583,1.952962012437638,39.206560828813615,45.602419303282204,38.171003039752115,14.066666666666666,59.730932082731805,3412.5,2137.5,0.0,0.0,15090.406685873213,15292.379095470611,6.944444444444445,10.890711341337115,12.667338695356168,36164,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
