,maximum_air_temperature_C,maximum_co2_ppm,maximum_absolute_pressure_difference_Pa,total_fan_energy_proxy_kWh
station_volume_m3,0.013332629330517322,0.20587826911115972,0.03882313129252517,0.04261639446557786
passenger_heat_W_per_person,0.07435757743030973,0.003306649064118053,-0.02009076836307345,0.05016029664118656
passenger_co2_L_s_person,0.05676368305473222,-0.013462785475337786,0.07587822351289406,0.02164808659234637
train_direct_heat_W,0.11814527258109032,-0.06715646789744521,0.40488382753531016,0.0030744122976491908
structure_outdoor_UA_W_K,0.023942111768447075,-0.024012570584666812,-0.02179707918831675,-0.019371533486133945
structure_capacitance_J_K,-0.01977195108780435,0.035428382829836284,0.047347869391477566,-0.024497857991431966
base_airflow_m3_s,0.1041934407737631,0.08817730837648141,0.00569810279241117,0.6706288265153061
maximum_airflow_m3_s,0.028870291481165926,0.05377241216172929,-0.033625190500762,0.027417037668150672
leakage_coefficient,0.0011125484501938007,-0.08605160540669124,-0.7926043224172896,0.002538058152232609
outdoor_temperature_C,0.9793968775875104,0.01676943453945584,0.05257192228768915,0.7597998391993568
